
#
#  ProEST - Protein Essential Space Test
#
#  Using variables:
#     AMBER prmtop:            bpti.CA.prmtop
#     AMBER trajectories:      trajectories/bpti.CA.X.mdcrd
#     AMBER mask:              :4-55@CA
#     Trajectory analyser:     /usr/local/amber16/bin/cpptraj
#     Prmtop converter:        /usr/local/amber16/bin/ante-MMPBSA.py
#     Python package:          /usr/local/anaconda2/bin/python2
#     Total number of DM:      20
#     Num. of concatenated DM: 4
#     RMSIP dimension:         1 3 4 (max. 4)
#     Number of samples:       20
#     Temporary files prefix:  _TEMP_
#
#  For more information please write us to 
#
#     sciprot.unq@gmail.com 
#
#  If you find this information valuable for your work, please cite 
#  "Cossio-Pérez, R., Palma, J., & Pierdominici-Sottile, G. (2017). Consistent 
#  principal component modes from molecular dynamics simulations of proteins. 
#  Journal of Chemical Information and Modeling."
#
#  Have a great day!
#
# SciProt Team
#
# RESULTS

#-------  RMSIP  1 -----|#-------  RMSIP  3 -----|#-------  RMSIP  4 -----|
#     Bin   Prob.    Cum.#     Bin   Prob.    Cum.#     Bin   Prob.    Cum.
  0.84888 0.05000 0.05000  0.69632 0.05000 0.05000  0.72505 0.05000 0.05000
  0.85319 0.00000 0.05000  0.70228 0.05000 0.10000  0.73168 0.05000 0.10000
  0.85750 0.00000 0.05000  0.70823 0.00000 0.10000  0.73831 0.05000 0.15000
  0.86181 0.00000 0.05000  0.71418 0.00000 0.10000  0.74494 0.00000 0.15000
  0.86612 0.00000 0.05000  0.72013 0.00000 0.10000  0.75157 0.00000 0.15000
  0.87043 0.00000 0.05000  0.72609 0.00000 0.10000  0.75820 0.05000 0.20000
  0.87474 0.05000 0.10000  0.73204 0.00000 0.10000  0.76483 0.00000 0.20000
  0.87905 0.00000 0.10000  0.73799 0.00000 0.10000  0.77146 0.05000 0.25000
  0.88336 0.00000 0.10000  0.74394 0.00000 0.10000  0.77809 0.00000 0.25000
  0.88768 0.05000 0.15000  0.74990 0.05000 0.15000  0.78472 0.00000 0.25000
  0.89199 0.00000 0.15000  0.75585 0.00000 0.15000  0.79135 0.05000 0.30000
  0.89630 0.00000 0.15000  0.76180 0.05000 0.20000  0.79798 0.00000 0.30000
  0.90061 0.00000 0.15000  0.76775 0.00000 0.20000  0.80461 0.10000 0.40000
  0.90492 0.00000 0.15000  0.77371 0.00000 0.20000  0.81124 0.05000 0.45000
  0.90923 0.05000 0.20000  0.77966 0.00000 0.20000  0.81787 0.05000 0.50000
  0.91354 0.05000 0.25000  0.78561 0.10000 0.30000  0.82450 0.10000 0.60000
  0.91785 0.00000 0.25000  0.79156 0.10000 0.40000  0.83113 0.05000 0.65000
  0.92216 0.05000 0.30000  0.79751 0.15000 0.55000  0.83776 0.05000 0.70000
  0.92647 0.00000 0.30000  0.80347 0.00000 0.55000  0.84439 0.05000 0.75000
  0.93078 0.05000 0.35000  0.80942 0.10000 0.65000  0.85102 0.05000 0.80000
  0.93509 0.05000 0.40000  0.81537 0.05000 0.70000  0.85765 0.00000 0.80000
  0.93940 0.05000 0.45000  0.82132 0.00000 0.70000  0.86428 0.05000 0.85000
  0.94371 0.05000 0.50000  0.82728 0.00000 0.70000  0.87091 0.05000 0.90000
  0.94803 0.10000 0.60000  0.83323 0.05000 0.75000  0.87754 0.00000 0.90000
  0.95234 0.00000 0.60000  0.83918 0.00000 0.75000  0.88417 0.05000 0.95000
  0.95665 0.00000 0.60000  0.84513 0.00000 0.75000  0.89080 0.00000 0.95000
  0.96096 0.20000 0.80000  0.85109 0.10000 0.85000  0.89744 0.00000 0.95000
  0.96527 0.05000 0.85000  0.85704 0.00000 0.85000  0.90407 0.00000 0.95000
  0.96958 0.05000 0.90000  0.86299 0.10000 0.95000  0.91070 0.00000 0.95000
  0.97389 0.10000 1.00000  0.86894 0.05000 1.00000  0.91733 0.05000 1.00000
